"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","25-Nov-2019","        693.20","        693.35","        705.15","        693.20","        699.00","        698.10","        698.13","    7334511","          5120436170.30","     109264","    3806774","         51.90"
"INFY","EQ","26-Nov-2019","        698.10","        705.00","        707.25","        686.00","        692.60","        690.60","        693.08","   27253106","         18888701555.80","     163058","   18766289","         68.86"
"INFY","EQ","27-Nov-2019","        690.60","        694.25","        697.65","        690.10","        696.15","        695.75","        694.39","    3861635","          2681478170.25","      64039","    2127806","         55.10"
"INFY","EQ","28-Nov-2019","        695.75","        699.10","        703.35","        694.05","        701.45","        701.85","        698.53","    4837683","          3379270403.10","      84619","    2196270","         45.40"
"INFY","EQ","29-Nov-2019","        701.85","        700.90","        702.30","        691.55","        695.80","        696.35","        695.72","    4262379","          2965402318.65","     110226","    2568211","         60.25"
"INFY","EQ","02-Dec-2019","        696.35","        703.10","        704.00","        690.30","        692.75","        692.70","        693.51","    9383736","          6507684351.30","     102880","    7134359","         76.03"
"INFY","EQ","03-Dec-2019","        692.70","        692.70","        699.70","        688.55","        699.00","        698.35","        696.23","    5239013","          3647553741.70","      84499","    2780779","         53.08"
"INFY","EQ","04-Dec-2019","        698.35","        697.00","        710.50","        693.35","        708.25","        708.85","        706.09","    7427886","          5244767944.90","     169304","    3885827","         52.31"
"INFY","EQ","05-Dec-2019","        708.85","        706.45","        715.90","        703.80","        714.10","        714.85","        712.06","    4814422","          3428139267.65","      76989","    1946177","         40.42"
"INFY","EQ","06-Dec-2019","        714.85","        715.95","        720.00","        709.60","        714.50","        715.10","        715.43","    5226096","          3738886364.80","      79319","    2470841","         47.28"
"INFY","EQ","09-Dec-2019","        715.10","        716.00","        722.35","        714.25","        716.05","        717.25","        718.66","    6435865","          4625177252.05","     114112","    3793800","         58.95"
"INFY","EQ","10-Dec-2019","        717.25","        713.00","        718.50","        710.00","        713.45","        714.55","        715.42","    4457939","          3189284687.65","      81372","    2491263","         55.88"
"INFY","EQ","11-Dec-2019","        714.55","        716.60","        722.70","        713.00","        720.00","        721.05","        718.49","    6043554","          4342244980.80","     125702","    3829712","         63.37"
"INFY","EQ","12-Dec-2019","        721.05","        718.50","        720.70","        699.55","        702.10","        702.10","        706.03","   11112042","          7845417394.45","     163350","    4701874","         42.31"
"INFY","EQ","13-Dec-2019","        702.10","        700.35","        712.90","        700.35","        711.50","        711.30","        708.50","   10302412","          7299214569.75","     132030","    5440986","         52.81"
"INFY","EQ","16-Dec-2019","        711.30","        712.30","        720.20","        710.20","        714.25","        714.00","        715.89","    5616324","          4020694131.10","     116838","    3181046","         56.64"
"INFY","EQ","17-Dec-2019","        714.00","        719.70","        731.25","        715.00","        730.50","        729.70","        726.51","   10525565","          7646917889.85","     193372","    5918984","         56.23"
"INFY","EQ","18-Dec-2019","        729.70","        731.00","        737.30","        722.75","        733.40","        732.45","        732.13","   12215295","          8943242214.25","     210673","    6987100","         57.20"
"INFY","EQ","19-Dec-2019","        732.45","        733.50","        735.95","        724.60","        732.00","        730.85","        729.59","    7199210","          5252474994.35","     165219","    3944237","         54.79"
"INFY","EQ","20-Dec-2019","        730.85","        731.00","        735.00","        728.25","        730.00","        731.55","        731.45","    7794167","          5701077059.75","     131404","    4269114","         54.77"
"INFY","EQ","23-Dec-2019","        731.55","        732.15","        737.30","        731.65","        735.95","        736.00","        734.61","    4975608","          3655128113.45","      80052","    3045794","         61.21"
"INFY","EQ","24-Dec-2019","        736.00","        736.95","        736.95","        728.30","        734.25","        733.40","        732.75","    2890759","          2118192660.85","      50306","    1365090","         47.22"
"INFY","EQ","26-Dec-2019","        733.40","        732.00","        734.55","        726.55","        729.50","        728.95","        730.42","    3821806","          2791528460.65","      48763","    2112825","         55.28"
"INFY","EQ","27-Dec-2019","        728.95","        729.75","        737.50","        728.85","        736.55","        736.95","        734.36","    3399094","          2496171888.65","      65467","    1848140","         54.37"
"INFY","EQ","30-Dec-2019","        736.95","        736.10","        737.95","        727.25","        732.50","        732.90","        732.53","    5368416","          3932522164.05","     115398","    3267316","         60.86"
"INFY","EQ","31-Dec-2019","        732.90","        729.70","        737.75","        725.45","        732.00","        731.15","        732.75","    6927885","          5076419897.30","     156522","    2954104","         42.64"
"INFY","EQ","01-Jan-2020","        731.15","        735.00","        740.00","        732.55","        739.35","        736.85","        735.35","    2112415","          1553368748.80","      36769","     561646","         26.59"
"INFY","EQ","02-Jan-2020","        736.85","        738.90","        740.80","        730.90","        735.75","        734.70","        735.22","    5658200","          4160025335.75","     102483","    3413440","         60.33"
